date,000300.SH,399905.SZ,000906.SH,000016.SH
2010/11/12,3291.833,5111.189,3607.873,2130.581
2010/11/15,3314.893,5255.267,3653.56,2126.697
2010/11/16,3169.538,5068.465,3501.582,2032.498
2010/11/17,3103.906,4855.85,3408.776,2013.607
2010/11/18,3147.962,4932.401,3458.598,2037.462
2010/11/19,3178.846,5081.03,3511.429,2039.445
2010/11/22,3171.941,5150.665,3519.012,2019.668
2010/11/23,3107.176,5063.237,3450.505,1981.261
2010/11/24,3177.043,5206.149,3533.567,2014.155
2010/11/25,3223.484,5259.81,3580.992,2041.337
2010/11/26,3194.853,5227.648,3551.927,2018.397
2010/11/29,3190.05,5248.747,3552.041,2011.898
2010/11/30,3136.985,5110.875,3483.432,1979.891
2010/12/1,3136.024,5116.837,3483.783,1984.305
2010/12/2,3155.059,5138.487,3503.157,1998.149
2010/12/3,3158.156,5100.366,3498.465,2008.12
2010/12/6,3165.57,5016.528,3488.633,2032.03
2010/12/7,3200.339,5084.583,3529.391,2046.723
2010/12/8,3171.882,5069.97,3503.771,2018.461
2010/12/9,3123.366,4964.901,3444.995,1996.384
2010/12/10,3161.977,5039.165,3490.01,2021.651
2010/12/13,3261.061,5179.021,3595.974,2074.334
2010/12/14,3269.474,5244.038,3614.977,2069.921
2010/12/15,3247.644,5230.68,3594.918,2054.017
2010/12/16,3230.665,5216.851,3578.672,2036.554
2010/12/17,3225.661,5228.337,3576.819,2032.138
2010/12/20,3178.657,5163.529,3526.844,1999.525
2010/12/21,3249.509,5222.792,3594.928,2049.223
2010/12/22,3215.453,5174.539,3558.475,2021.976
2010/12/23,3188.607,5069.523,3517.109,2017.665
2010/12/24,3162.955,4991.544,3481.8,2013.25
2010/12/27,3099.709,4849.63,3404.24,1977.692
2010/12/28,3044.931,4730.497,3337.775,1950.329
2010/12/29,3061.83,4812.532,3366.805,1953.334
2010/12/30,3064.098,4828.489,3371.633,1946.515
2010/12/31,3128.261,4936.716,3443.576,1977.366
2011/1/4,3189.682,5011.498,3507.006,2015.112
2011/1/5,3175.662,5028.766,3499.012,1999.219
2011/1/6,3159.643,5001.283,3480.962,1984.278
2011/1/7,3166.624,4975.144,3481.632,2006.374
2011/1/10,3108.187,4830.562,3407.419,1975.744
2011/1/11,3124.922,4804.822,3415.995,1999.764
2011/1/12,3142.337,4833.58,3435.406,2017.149
2011/1/13,3141.284,4826.757,3433.272,2014.167
2011/1/14,3091.862,4723.426,3374.085,1982.623
2011/1/17,2974.35,4519.913,3241.319,1918.422
2011/1/18,2977.648,4536.964,3247.186,1923.695
2011/1/19,3044.851,4646.087,3321.742,1953.352
2011/1/20,2944.713,4477.359,3209.491,1895.004
2011/1/21,2983.456,4506.322,3246.065,1925.838
2011/1/24,2954.232,4398.495,3202.247,1911.754
2011/1/25,2938.654,4341.909,3179.058,1911.306
2011/1/26,2978.431,4424.892,3226.66,1926.036
2011/1/27,3026.466,4502.808,3279.935,1949.372
2011/1/28,3036.735,4548.206,3296.747,1945.141
2011/1/31,3076.508,4610.86,3340.507,1964.106
2011/2/1,3077.283,4630.58,3344.85,1968.687
2011/2/9,3040.949,4609.717,3311.739,1943.001
2011/2/10,3104.163,4733.973,3385.949,1975.98
2011/2/11,3120.956,4786.806,3409.404,1976.473
2011/2/14,3219.143,4872.495,3504.415,2047.694
2011/2/15,3217.671,4869.687,3502.703,2042.644
2011/2/16,3248.527,4952.667,3543.141,2051.488
2011/2/17,3245.907,4987.48,3547.608,2046.975
2011/2/18,3211.876,4941.432,3511.591,2030.318
2011/2/21,3257.908,5042.967,3567.706,2046.085
2011/2/22,3163.578,4909.745,3466.818,1991.013
2011/2/23,3174.742,4979.057,3488.85,1995.679
2011/2/24,3190.935,5027.731,3511.033,2002.832
2011/2/25,3197.617,5032.797,3517.356,2006.66
